¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{IMPERIAL_CAMPAIGN_HRE_DESCR}		Lord Mehrunes Dagon\n\n Oblivion \n\n For many long millennia Mehrunes Dagon -- Daedric Prince of Destruction and Change -- was preparing for what he called “Tamriel Reborned” -- great invasion of the mortal world, and claiming it as his own. Lord Dagon believe that Tamriel, the Starry Heart, is in reality another piece of Oblivion, stolen by treacherous Daedra from its rightful Prince, Lorkhan -- the Missing God. It is only just that the Lord of Change of Revolution himself would lay hand on abandoned domain. When Dragonfires became unlit and barrier between Nirn and Oblivion disappeared, hordes of demonic forces led by disciplined Dremora legions invaded whole Tamriel in a swift strike, all under the banner of Lord Dagon.\n\n Nobody was prepared for this conflict. Oblivion gates maintained by powerful sigil stones were opened at once in every province, from mushroom forests of the Telvanni to rocky hills of High Rock. Hordes of Oblivion are commanded by hierarchic Dremora, who call themselves Kyn -- mighty knights of Lord Dagon, loyal and deadly, commanded by sense of honor and duty. There are also mortals who sided with the Daedra, calling themselves “Mythic Dawn” -- their numbers grow with every day...
{IMPERIAL_CAMPAIGN_HRE_TITLE}		Hordes of Oblivion
{IMPERIAL_CAMPAIGN_HUNGARY_DESCR}	Archmagister Gothren\n\n “The wizard-lords of House Telvanni have traditionally isolated themselves, pursuing wisdom and mastery in solitude. But certain ambitious wizards-lords, their retainers, and clients have entered whole-heartedly into the competition to control and exploit Vvardenfell's land and resources, building towers and bases all along the eastern coast. According to Telvanni principles, the powerful define the standards of virtue.” - quote from “Great Houses of Morrowind”\n\n Mighty wizard-lords of Great House Telvanni are the most isolationist, arrogant and traditionalistic of all Great Houses of Morrowind -- and the last is not a big surprise, considering that Houses rulers are usually thousands-year old masters of arcane arts, who were old already when Empire of Tiber Septim was young. The Telvanni believe that wisdom confers power, and power confers right. Many Telvanni are known to be necromancers, some of which drove themselves mad with the practice, and their retainers are often involved in illegal activities that made House Telvanni unpopular amongst other Houses. Given their distrustful and xenophobic nature, this is likely the way they prefer it to be. House Telvanni is also the main source of business for the Morrowind slave trade. As a rule, House Telvanni is known to be obscenely wealthy. Some accounts claim that as a whole, in the later years of the Third Era, the House had a net worth rivalling the riches of the Imperial Treasury. Much of this financial leverage was greatly mitigated by the fact that many Telvanni exhausted their resources with ceaseless bickering and in fighting. Entire cities had been known to change hands repeatedly between two or more Telvanni wizard-lords over petty grievances and minor disputes that had, over the centuries, grown into major blood-wars. Often, the citizens of Telvanni controlled regions did not care much for or even especially notice the internal politics of the Great House, as abstract magickal vendettas between lofty, never-seen plutocrats and their legions of paid pawns rarely interrupted the lives of the common Dunmeri serf. A few notable exceptions to this did occur in instances of Telvanni lords massacring each other's logistical assets, but the House had various ways of making such occurrences “disappear” when the public outcry became too great. Additionally, a great deal of Telvanni wealth was spent on purely hedonistic extravagance and many luxuries for which most Telvanni had no real use.\n\n “We trust all members of House Telvanni to use their own judgement. If you steal from another Telvanni, but still live, then clearly you deserve whatever you stole. Murdering your opponents by magic or treachery is the traditional way of settling disputes. If you win, then clearly your argument has more merit. You may be expelled as in any other Great House, but most Telvanni will not care or even know about it. Does this appeal to you?” - rules of the Great House Telvanni, as being taught to new members\n\n The House Telvanni have two capitals: Sadrith Mora on Vvardenfell and Port Telvannis, situated on Telvanni Isles in the Padomaic Ocean, north east of Morrowind. Its ruling body is the Council -- place of meeting for all wizard masters, represented usually by ones called Voices. Honorary title of the head of House Telvanni falls to the master wizard called Archmagister -- in most cases he or she is also the one most powerful, cunning and deceitful.
{IMPERIAL_CAMPAIGN_HUNGARY_TITLE}	Great House Telvanni
{IMPERIAL_CAMPAIGN_MILAN_DESCR}		Lord Vivec\n\n House Indoril is one of the Great Houses of Morrowind. The great Chimer hero Nerevar was the head of this House during the early First Era. House Indoril is a staunch supporter of the Tribunal Temple. Many of the Temple Ordinators and other Temple heroes are members of this House. This connection has given it a big influence on all political decisions in Morrowind.\n\n Prior to Imperial conquest, House Indoril had been the dominant Great House throughout Morrowind's history. During the war with Tiber Septim's Empire, House Indoril was strongly against Imperial occupation. When Septim incorporated Morrowind into his Empire, Indoril refused to submit to Imperial rule. At the time the Lord High Councilor of the Grand Council, a council comprised of the heads of the Great Houses, was an Indoril and would not accept the treaty or step down, so he was assassinated and replaced with a member of House Hlaalu. More power struggles went on between the two Great Houses, with House Hlaalu, in support of Imperial accommodation, coming out the victor. Still unwilling to accept membership within the Empire, many Indoril nobles committed suicide, weakening the House.\n\n Currently, House Indoril has no territorial holdings on the island of Vvardenfell; all of its territory is located on mainland Morrowind. Its capital is Mournhold, also the capital of Morrowind itself.
{IMPERIAL_CAMPAIGN_MILAN_TITLE}		Great House Indoril
{IMPERIAL_CAMPAIGN_MOORS_DESCR}		King Lhothun\n\n Hammerfell is the eternal outsider of the human lands, either regarded by the Imperial citizen as Tamriel's dark and exotic west or its most tempestuous and dangerous quarter, full of barbarians and cutthroats. Both descriptions are apt, and can be equally attributed to its people, the proud and savage Redguards. \n\n Under the provincial organization of the Second Empire, two Redguard "parties" formed to aid Cyrodiil's administration of Hammerfell. The ancient Na-Totambu ruling class retained the rights of noble council as the Crowns, and the much-admired warriors of the Ra Gada were finally granted rights of ownership within their tribal districts. This empowerment fundamentally changed the Ra Gada, who began to call themselves the Forebears, firmly announcing their status as the first Redguards on Tamriel. This republic, however, lasted only so long as the Cyrodiils were strong enough to support it. During the Imperial Interregnum, control reverted back to the hereditary monarchy of the Na-Totambu. The new "High King" was even so bold as to move his throne from Old Hegathe to the more prosperous Forebear city of Sentinel, which had, by this time, mastered a third of the trade of the Iliac Bay.\n\n After the death of the last High King of Hammerfell, Thassad II, in 2E 862, the Forebears took Sentinel by force in a bid to end the Crowns' oppression. Thassad's son Prince A'tor moved to recapture the city, resulting in the bloodiest massacre in Hammerfell's history. The Forebears sought aid from Tiber Septim and the Third Empire, and together they defeated A'tor's forces at the Battle of Hunding Bay. Septim took the opportunity to install Imperial governors in Hammerfell's major cities in a bid to draw the region into his burgeoning Empire, part of his ongoing conquest of Tamriel. The ruthless tactics of the governors resulted in rebellions in Stros M'Kai and Sentinel, however, forcing Septim to agree to a treaty with the Crown and Forebear factions in order to keep Hammerfell an Imperial province.\n\n Centuries later, the Thalmor of the Aldmeri Dominion would attempt to seize control of Hammerfell from the Third Empire. Emperor Titus Mede II's refusal to concede to Thalmor demands triggered the Great War in 4E 171. Aldmeri forces crossed western Cyrodiil and invaded Hammerfell's southern coast, easily sweeping through the scattered resistance put up by the disunited Redguards. Initially only seeking to conquer Hammerfell, the Dominion launched a full-scale invasion of Cyrodiil when it realized the Empire was weaker than previously believed. Imperial fortunes took a turn for the better in Hammerfell two years later, when a Forebear army from Sentinel broke the siege of the Crown city of Hegathe, leading to the reconciliation of the two factions. After the Empire's hard-won victory in the Battle of the Red Ring in 4E 175, the Empire and Dominion signed the White-Gold Concordat and ended the war. Outraged that the terms of the treaty called for a large portion of southern Hammerfell to be turned over to the Dominion, however, the Redguards soundly rejected it. Titus II was forced to officially renounce Hammerfell as an Imperial province to preserve the peace, and fighting between the Aldmeri and Redguards continued. In 4E 180, the exhausted Dominion agreed to the Second Treaty of Stros M'Kai and finally withdrew from the region, leaving Hammerfell an independent albeit devastated nation.\n\n Redguards are divided between the cosmopolitan, progressive Forebears and the fundamentalist, isolationist Crowns. The Forebears are the descendants of the Yokudan military class, the Ra Gada, and are generally open to outside cultures such as the Imperials and Bretons; the Crowns are the descendants of the Yokudan noble class and still prefer to shun outsiders, vying to preserve the customs and culture of their ancestors.
{IMPERIAL_CAMPAIGN_MOORS_TITLE}		Clan of Forebears
{IMPERIAL_CAMPAIGN_PAPAL_STATES_DESCR}	Do not translate - papacy not playable in campaign
{IMPERIAL_CAMPAIGN_PAPAL_STATES_TITLE}	The Papal State
{IMPERIAL_CAMPAIGN_POLAND_DESCR}	Archmaster Bolvyn Venim\n\n “The Redoran prize the virtues of duty, gravity, and piety. Duty is to one's own honor, and to one's family and clan. Gravity is the essential seriousness of life. Life is hard, and events must be judged, endured, and reflected upon with due care and earnestness. Piety is respect for the gods, and the virtues they represent. A light, careless life is not worth living.” -- quote from “Great Houses of Morrowind”\n\n The Dunmer founded-and-dominated House Redoran is one of the six Great Houses of Morrowind. The house is made up of seasoned warriors who protect western Morrowind in the Velothi Mountains from Nord invaders from the province of Skyrim. Their holdings in the mainland of Morrowind include a large portion of the Western Mountains, the Northwestern Highlands and the Great Valley. Redoran believes itself to be beyond most of the other houses due to their honor and martial prowess. They hate the Ashlanders, considering them to be heretics against the Tribunal. Some segments of House Redoran believe they should be removed as well as the blasphemous vampire clans. While not priests or holy crusaders like House Indoril, the Redoran are nevertheless driven by firm religious convictions.\n\n “Great House Redoran praises all the skills of war. Not because we believe war is good or honourable in it’s own right, but because this knowledge is necessary to perform one's duty. House Redoran's warrior fight with a long blade and a shield or with a spear. A noble of House Redoran must also learn to use a bow and must be athletic enough for the long marches to battle. A Redoran wears heavy or medium armour depending on rank and strategy. A noble of House Redoran is expected to know how to repair and maintain his own armour.” -- quote from “The True Noble’s Code”\n\n The Council Seat of House Redoran in the district of Vvardenfell is situated in Ald'ruhn. Their main capital in the province of Morrowind is Blacklight. The House Redoran is ruled by an Archmaster, who is supported by his Councillors. In general, House Redoran is skeptic toward the Empire -- still, one can speak about sort of mutual respect between noble warriors of the Redoran and disciplined Imperial Legions. Also, House Telvanni traditionally disregard Redoran, with mutual disdain. Even highly conservative, Great House Redoran almost do not employ slaves, regarding the practice as dishonorable.
{IMPERIAL_CAMPAIGN_POLAND_TITLE}	Great House Redoran
{IMPERIAL_CAMPAIGN_PORTUGAL_DESCR}	Lord Dagoth Ur\n\n “Pity Dagoth Ur and the Sixth House. All they do, all they are is foul and evil, but they began in brightness and honour, and the cause of their fall was their loyal service to you, Lord Nerevar. You told Lord Dagoth to guard the profane tools beneath Red Mountain, and thus he was tempted. He did your bidding when he tried to keep these tools from the Tribunal, and so he hates you, who betrayed him, and the Tribunal, who mocked his honour, attacked him, and stole the profane tools for their own use.” -- Peakstar\n\n Great House Dagoth is one of the ancient Great Houses of the Dunmer people -- but is no longer recognized as such by mainstream Tribunal narrative and rewritten by them history of the land. In an age of Old Resdayn, back in the First Era, when Dunmer were Chimer and Dwemer lived on Tamriel, House Dagoth was one of the most influential of Great Houses, rivalled only by House Indoril or House Telvanni. It’s capital was majestic stronghold of Kogoruhn, near base of the Red Mountain. Dagoths were strongly opposing webweaving politics of other Houses, their scheming in the shades and backstabbing -- Sixth House was known for its honour, loyalty and prowess in magical arts. Head of the House was Lord Voryn Dagoth -- today known as Dagoth Ur.\n\n Close advisor to the legendary leader of all Chimer, Lord Indoril Nerevar, called Moon-and-star, Lord Voryn at some point discovered schemes of the Dwemer, who planned to use Heart of Lorkhan to use power of the Heart of Lorkhan to make whole Dwemer race divine -- a way of escaping Nirn, which Dwemer considered flawed and unreal. War erupted when Dwarves refused to handle over the Tools which Kagrenac, their chief Tonal Architect and leader of blasphemous project, designed to manipulate the Heart. In great, long conflict, forces of the Chimer prevailed. Kagrenac used the Tools on the Heart, causing famous Dwemer Dissapearance -- what became of Dwarves, nobody knows. Then Nerevar instructed his friend and comrade, Dagoth Voryn, to take care of the tools, while he headed to meet with his councillors -- Alma, Seht and Vivec. There he was betrayed and brutally murdered -- power-hungry councillors went to the Red Mountain and wanted to obtain the Tools from Lord Dagoth. He refused, not wanting mistakes of the Dwemer to be made by his people. One versus three, he was overwhelmed and killed by the traitors, who used the Tools and became False Gods of the new Morrowind, that was founded on the murder of Lord Nerevar and blasphemous use of the divine power. But Lord Dagoth did not die. He was resurrected by the power of the Heart. He has risen more powerful than before, and rebuild Sixth House from scratch, sharing His divine power with followers, giving them Dreams of glory and hope for a New Resdayn. Lord Dagoth -- Dagoth Ur -- vowed to destroy false temple of traitor-gods and to push out the dogs of the Empire from Morrowind. He created Divine Disease to spread his power all over the province. Time of reckoning comes for murderers of Lord Nerevar comes, and Lord Dagoth Ur will soon spread His divine power over whole Dunmereth... and then Tamriel. \n\n Bulk of House Dagoth’s forces are formed by hordes of Corprus victims, those that had no willpower to withstand the divine power of Dagoth Ur. House Dagoth can also command powerful, trained warriors and mages. Mightiest of the servants of the Tribe Unmourned are “Sleepers” of many kinds, those who ascended and are connected with the Dream of Dagoth Ur, wielding potent spells and enchanted weapons.
{IMPERIAL_CAMPAIGN_PORTUGAL_TITLE}	Great House Dagoth
