¬
{Hircine}Hircine
{Meriath}Meriath
{Nelos}Nelos
{Otheri}Otheri
{Maryon}Maryon
{Storn}Storn
{Talcar}Talcar
{Tharsten}Tharsten
{Galyn}Galyn
{Mecinar}Mecinar
{Araan}Araan
{Cylben}Cylben
{Heartfang}HeartFang
{Noname}No name
{Norbert}	Norbert
{Ogier}		Ogier
{Auberon}	Auberon 
{Pierric}	Pierric
{Philip}	Philip
{Renald}	Renald
{Reynald}	Reynald
{Roderic}	Roderic
{Roland}	Roland
{Rufio}		Rufio
{Salomon}	Salomon
{Samiel}	Samiel
{Sam}		Sam
{Stelanie}	Stelanie
{Sebastien}	Sebastien
{Theranis}	Theranis
{Thorley}	Thorley
{Timothee}	Timothee
{Ulrich}	Ulrich
{Verandis}	Verandis
{Vincente}	Vincente
{Vincent}	Vincent
{Woodborne}	Woodborne
{of_Daggerfall}	of Daggerfall
{of_Anticler}	of Anticler
{of_Evermor}	of Evermor
{of_Wayrest}	of Wayrest
{of_Northpoint}	of Northpoint
{of_Camlorn}	of Camlorn 
{Bertram}	Bertram
{Spode}	Spode
{Shaldon}	Shaldon
{Dariah} Dariah
{Gardner}	Gardner
{Gautier}	Gautier
{Deleyn}	Deleyn
{Guimard}	Guimard
{Ales}	Ales
{Cumberland} Cumberland
{Montclair}	Montclair
{Dorell}	Dorell
{Tamrith}	Tamrith
{Ravenwatch} Ravenwatch
{Lamont} Lamont
{Emax} Emax
{Parmion} Parmion
{Barthel} Barthel
{Esmery} Esmery
{Chamrond} Chamrond
{Marence} Marence
{Guillon} Guillon
{Virelande} Virelande
{Muriel} Muriel
{Santerre} Santerre
{Ginise} Ginise
{Cornillac} Cornillac 
{Cergend} Cergend
{Pathierry} Pathierry
{Montieu} Montieu
{Narcien} Narcien
{Cordier} Cordier
{Aubertin} Aubertin
{Doeur} Doeur
{Averos} Averos
{Arzhel} Arzhel
{Arzhela} Arzhela
{Falliere} Falliere
{Leonciele} Leonciele
{Favraud} Favraud
{Coutenan} Coutenan
{Astier} Astier
{Jerenise} Jerenise
{Celd} Celd
{Cartier} Cartier
{Douare} Douare
{Sourt} Sourt
{Dailland} Dailland
{Cheval} Cheval
{Stentor} Stentor
{Celiane} Celiane
{Dalot} Dalot
{Broc} Broc
{Addriene}	Addriene
{Antoinetta}Antoinetta
{Arielle}	Arielle
{Aubki}		Aubk'i
{Dortene}	Dortene
{Beatrice}	Beatrice
{Bernadette}	Bernadette
{Biene}		Biene
{Blanche}	Blanche
{Callia}	Callida
{Candice}	Candice
{Caroline}	Caroline
{Chana}		Chana
{Claudette}	Claudette
{Delphine}	Delphine
{Elara}		Elara
{Ondre}		Ondre
{Colane} Colane
{Rayelle}	Rayelle
{Aurine}	Aurine
{Leila}	Leila
{Elisa}		Elisa
{Elysana}	Elysana
{Erline}	Erline
{Estelle}	Estelle
{Eselde}	    Eselde
{Evangeline}	Evangeline
{Francine}	Francine
{Irene}		Irene
{Isabeau}	Isabeau
{Jeanne}	Jeanne
{Joile}		Joile
{Julienne}	Julienne
{Lakana}	Lakana
{Luciana}	Luciana
{Maraya}	Maraya
{Marguerite}	Marguerite
{Marie}		Marie
{Mariette}	Mariette
{Matilde}	Matilde
{Melisande}	Melisande
{Mirabelle}	Mirabelle
{Raelynn}	Raelyn
{Renote}	Renote
{Rochelle}	Rochelle
{Roxanne}	Roxanne
{Roxy}		Roxy
{Sabine}	Sabine
{Phebe}		Phebe
{Ursanne}	Ursanne
{Yvara}		Yvara
{Aldos}		Aldos
{Alms}		Alms
{Alval}		Alval
{Alveno}	Alveno
{Andel}		Andel
{Andilo}	Andilo
{Andil}		Andil
{Arvin}		Arvin
{Athal}		Atal
{Avon}		Avon
{Avron}		Avron
{Avrus}		Avrus
{Avus}		Avus
{Aymar}		Aymar
{Balen}		Balen
{Banus}		Banus
{Baren}		Baren
{Bolay}		Bolay
{Bolor}		Bolor
{Bolnor}	Bolnor
{Bongond}	Bongond
{Bratheru}	Bratheru
{Brethas}	Brethas
{Breyns}	Breyns
{Briras}	Briras
{Cylben}	Cylben
{Dals}		Dals
{Danar}		Danar
{Delos}		Delos
{Diram}		Diram
{Direr}		Direr
{Dondos}	Dondos
{Dovyn}		Dovyn
{Drad}		Drad
{Dram}		Dram
{Dranas}	Dranas
{Drarus}	Drarus
{Drels}		Drels
{Dredas}	Dredas
{Dridas}	Dridas
{Ethys}		Ethys
{Eronor}	Eronor
{Farwill}	Farwill
{Fathis}	Fathis
{Felen}		Felen
{Ferul}		Ferul
{Gilen}		Gilen
{Gureryn}	Gureryn
{Harrow}	Harrow
{Ilvel}		Ilvel
{Mels}		Mels
{Nivan}		Nivan
{Olyn}		Olyn
{Othrelos}	Othrelos
{Orvas}		Orvas
{Ralsa}		Ralsa
{Raynil}	Raynil
{Redas}		Redas
{Simmachus}	Simmachus
{Slythe}	Slythe
{Soris}		Soris
{Tovas}		Tovas
{Ulen}		Ulen
{Valen}		Valen
{Varel}		Varel
{Varon}		Varon
{Vedam}		Vedam
{Dren}		Dren
{Hlaalu}	Hlaalu
{Bero}		Bero
{Andrano}	Andrano
{Alen}		Alen
{Andrani}	Andrani
{Arano}		Arano
{Aretan}	Aretan
{Andaris}	Andaris
{Arvel}		Arvel
{Berendus}	Berendus
{Balen}		Balen
{Deras}		Deras
{Dres}		Dres
{Dalomo}	Dalomo
{Driler}	Driler
{Danoran}	Danoran
{Favelnim}	Favelnim
{Fyr}		Fyr
{Girit}		Girit
{Hlaano}	Hlaano
{Helvi}		Helvi
{Hlaalo}	Hlaalo
{Indoril}	Indoril
{Lloran}	Lloran
{Llethri}	Llethri
{Marethi}	Marethi
{Nerano}	Nerano
{Oran}		Oran
{Otril}		Otril
{Otrelet}	Otrelet
{Omani}		Omani
{Retan}		Retan
{Randas}	Randas
{Sadri}		Sadri
{Sedreti}	Sedreti
{Sereti}	Sereti
{Savil}		Savil
{Sadris}	Sadris
{Therethi}	Therethi
{Telvanni}	Telvanni
{Tiravel}	Tiravel
{Tilvur}	Tilvur
{Uvalen}	Uvalen
{Ules}		Ules
{Uvein}		Uvein
{Verotan}	Verotan
{Verano}	Verano
{Baro}		Baro
{Raram}		Raram
{Sarethi}	Sarethi
{Andrano}	Andrano
{Dralor}	Dralor
{Venim}		Venim
{Elvael}	Elvael
{Selas}		Selas
{Selvilo}	Selvilo
{Llervu}	Llervu
{Reteran}	Reteran
{Ramoran}	Ramoran
{Sarandas}	Sarandas
{Mandas}	Mandas
{Sarano}	Sarano
{Vabdas}	Vabdas
{Arobar}	Arobar
{Marvel}	Marvel
{Llethri}	Llethri
{Omalen}	Omalen
{Drurel}	Drurel
{Virit}		Virit
{Samori}	Samori
{Berendas}	Berendas
{Atren}		Arten
{Mano}		Mano
{Uvani}		Uvani
{Fandas}	Fandas
{Lerano}	Lerano
{Romaine}	Romaine
{Morvayn}	Morvayn
{Adosi}		Adosi
{Alves}		Alves
{Arvena}	Arvena
{Barenzia}	Barenzia
{Boderi}	Boderi
{Bralsa}	Bralsa
{Carlia}	Carlia
{Davela}	Davela
{Dervera}	Dervera
{Doversi}	Doversi
{Drarana}	Drarana
{Falanu}	Falanu
{Glistel}	Glistel
{Llensi}	Llensi
{Llevana}	Llevana
{Malyani}	Malyani
{Mensa}		Mensa
{Minx}		Minx
{Mivryna}	Mivryna
{Morgia}	Morgia
{Nardhil}	Nardhil
{Norasa}	Norasa
{Noveni}	Noveni
{Ralsa}		Ralsa
{Satha}		Satha
{Saveri}	Saveri
{Tadrose}	Tadrose
{Tanasa}	Tanasa
{Tivela}	Tivela
{Tolisi}	Tolisi
{Tolvasa}	Tolvasa
{Ulene}		Ulene
{Undena}	Undena
{Uravasa}	Uravasa
{Urnsi}		Urnsi
{Aroa}		Aroa
{Arion}		Arion
{Arnas}		Arnas
{Balver}	Balver
{Berel}		Berel
{Bervaso}	Bervaso
{Bethes}	Bethes
{Birer}		Birer
{Bolvin}	Bolvin
{Daral}		Daral
{Dethresa}	Dethresa
{Divayth}	Divayth
{Dralval}	Dralval
{Dreyns}	Dreyns
{Drores}	Drores
{Elam}		Elam
{Enar}		Enar
{Endryn}	Endryn
{Eris}		Eris
{Esib-Nummu} Esib-Nummu
{Faras}		Faras
{Folvys}	Folvys
{Goron}		Goron
{Garan}		Garan
{Gothren}	Gothren
{Helseth}	Helseth
{Hentus}	Hentus
{Hloris}	Hloris
{Ilen}		Ilen
{Ilet}		Ilet
{Kummi-Namus} Kummi-Numus
{Llaalamu}	Llaalamu
{Lleril}	Lleril
{Ilandris}	Ilandris
{Mausur}	Mausur
{Methal}	Methal
{Nals}		Nals
{Naral}		Naral
{Nevil}		Nevil
{Neloth}	Neloth
{Nerevar}	Nerevar
{Nerevarin}	Nerevarin
{Nerevarine} Nerevarine
{Niras}		Niras
{Odron}		Odron
{Ralyn}		Ralyn
{Rinas}		Rinas
{Salen}		Salen
{Salvas}	Salvas
{Salyn}		Salin
{Selman}	Selman
{Selmen}	Selmen
{Sendus}	Sendus
{Shanud}	Shanud
{Sortis}	Sortis
{Sotha-Sil}	Sotha Sil
{Suryn}		Suryn
{Tarer}		Tarer
{Telis}		Telis
{Tendris}	Tendris
{Tharer}	Tharer
{Tholer}	Tholer
{Tralas}	Tralas
{Trevyn}	Trevyn
{Tuls}		Tuls
{Velms}		Velms
{Vivek}		Vivec
{Voruse}	Voruse
{Zanmulk}	Zanmulk
{Zedbusipal} Zedbusipal
{Adamus}	Adamus
{Adrian}	Adrian
{Adventus}	Adventus
{Aloys}		Aloys
{Amantius}	Amantius
{Amminus}	Amminus
{Andreas}	Andreas
{Angoril}	Angoril
{Antus}		Antus
{Arentus}	Arentus
{Attrebus}  Attrebus
{Audens}	Audens
{Belisarius} Belisarius
{Berich}	Berich
{Betto}		Betto
{Bremman}	Bremman
{Brelius}	Brelius
{Brotch}	Brotch
{Bruscius}	Brucius
{Carius}	Carius
{Carmalo}	Carmalo
{Casta}		Casta
{Charrus}	Charrus
{Cicero}	Cicero
{Claudius}	Claudius
{Collatinus}	Collantius
{Contumeliours}	Contumeliours
{Cyronion}	Cyronion
{Danus}		Danus
{Darius}	Darius
{Decentius}	Decentius
{Decianus}	Decianus
{Denel}		Denel
{Dion}		Dion
{Ebbel}		Ebbel
{Eduard}	Eduard
{Enman}		Enman
{Fadus}		Fadus
{Galtus}	Galtus
{Garrus}	Garrus
{Geldall}	Geldall
{Gellius}	Gellius
{Gemellus}	Gemellus
{Gerich}	Gerich
{Giovanni}	Giovanni
{Glenroy}	Glenroy
{Helvius}	Helvius
{Helvo}		Helvo
{Hieronimus} Hieronimus
{Humilis}	Humilis
{Ilav}		Ilav
{Ilend}		Ilend
{Iniel}		Iniel
{Irlav}		Irlav
{Itius}		Itius
{Januarius}	Januarius
{Janus}		Janus
{Jaras}		Jaras
{Jesan}		Jesan
{Jirolin}	Jirolin
{Jiv}		Jiv
{Jonna}		Jonna
{Kantav}	Kantav
{Kastav}	Kastav
{Korvo}		Korvus
{Korvus}	Korvus
{Langley}	Langley
{Laythe}	Laythe
{Lerexus}	Lerexus
{Ley}		Ley
{Lorgren}	Lorgren
{Lucan} 	Lucan
{Lucien}	Lucien
{Lurio}		Lurio
{Luther}	Luther
{Malintus}	Malintus
{Marinus}	Marinus
{Maro}		Maro
{Marius}	Marius
{Martin}	Martin
{Melus}		Melus
{Menien}	Menien
{Mercator}	Mercator
{Natch}		Natch
{Ontus}		Ontus
{Ormellius}	Ormellius
{Otius}		Otius
{Pennus}	Pennus
{Pelagius}	Pelagius
{Pinarus}	Pinarus
{Primo}		Primo
{Proventus}	Proventus
{Quentin}	Quentin
{Rallus}	Rallus
{Raminus}	Raminus
{Regulus}	Regulus
{Reman}		Reman
{Rimalus}	Rimalus
{Ris}		Ris
{Roliand}	Roliand
{Rufrius}	Rufrius
{Savlian}	Savlian
{Sergius}	Sergius
{Servatius}	Servatius
{Sevarius}	Sevarius
{Stantus}	Stantus
{Steffan}	Steffan
{Sulinus}	Sulinus
{Surius}	Surius
{Talos}		Talos
{Tertius}	Tentius
{Tertullian} Tertullian
{Tiber}		Tiber
{Titus}		Titus
{Titus_Mede} Titus Mede
{Javad}	Javad
{Abnur}	Abnur
{Martialis}	Martialis
{Magnius} Magnius
{Euraxius} Euraxius
{Jagar} Jagar
{Varen} Varen
{Septima} Septima
{Vanus}	Vanus
{Festius} Festius
{Crispus} Crispus
{Lavinius} Lavinius
{Tharn} Tharn
{Sadas} Sadas
{Secundus} Secundus
{Nadir} Nadir
{Aquilarios} Aquilarios
{Thulsa}	Thulsa
{Toutius}	Toutius
{Trenus}	Trenus
{Tyrellius}	Tyrellius
{Tullius}	Tullius
{Uriel}		Uriel
{Valandrus}	Valandryus
{Valus}		Valus
{Vandorallen} Vandorallen
{Vantus}	Vantus
{Velan}		Velan
{Velus}		Velus
{Velwyn}	Velwyn
{Viator}	Viator
{Viranus}	Viranus
{Vlanarus}	Vlanarus
{Vlanhonder} Vlanhonder
{Vlarimil}	Vlarimil
{Vontan}	Vontan
{Vontus}	Vontus
{Hassildor}	Hassildor
{Caesennius} Caesennius
{Caro}		Caro
{Umbranox}	Umbranox
{Corvein}	Carvein
{Valga}		Valga
{Cipius}	Cipius
{Terentius}	Terentius
{Goldvine}	Goldvine
{Matius}	Matius
{Indaris}	Indaris
{Inian}		Inian
{Valus}		Valus
{Rilian}	Rilian
{Lex}		Lex
{Polus}		Polus
{Jarol}		Jarol
{Kvinchal}	Kvinchal
{Lashance}	Lashance
{Pinder}	Pinder
{Segonius}	Segonius
{Filida}	Filida
{Akkius}	Akkius
{Rufus}		Rufus
{Kalus}		Kalus
{Sintav}	Sintav
{Mede}		Mede
{Septim}	Septim
{Annaïg}	Annaïg
{Augusta}	Augusta
{Aviera}	Aviera
{Aya}		Aya
{Lucina}	Lucina
{Britta}	Britta
{Bronsila}	Bronsila
{Caelia}	Caelia
{Camilla}	Camilla
{Carmana}	Carmana
{Caula}		Caula
{Durnania}	Durnania
{Dynari}	Dynari
{Erina}		Erina
{Etira}		Etira
{Faustina}	Faustina
{Gruiand}	Gruiand
{Herminia}	Herminia
{Ida}		Ida
{Janonia}	Janonia
{Jantus}	Jantus
{Jastia}	Jastia
{Javolia}	Javolia
{Jena}		Jena
{Julitta}	Julitta
{Kaula}		Kaula
{Lenka}		Lenca
{Lyra}		Lyra
{Marana}	Marana
{Mariana}	Mariana
{Marlena}	Marlena
{Martina}	Martina
{Millona}	Millona
{Narina}	Narina
{Naspia}	Naspia
{Perennia}	Perennia
{Pista}		Pista
{Praxedes}	Praxedes
{Renaz}		Renaz
{Renee}		Renee
{Restita}	Restita
{Romana}	Romana
{Rona}		Rona
{Rosentia}	Rosentia
{Rusia}		Rusia
{Schlera}	Schlera
{Selena}	Selena
{Selen}		Selen
{Sibylla}	Sibylla
{Silana}	Silana
{Tertia}	Tertia
{Viera}		Viera
{Vilena}	Vilena
{Vinicia}	Vinicia
{Ysabel}	Ysabel
{Abzug}	Abzug
{Agronak}	Agronak
{Bazur}		Bazur
{Bazrag}	Bazrag
{Bolg}	 Bolg
{Brugo}		Brugo
{Brag}		Brag
{Brokil}	Brokil
{Bugak}		Bugak
{Burz}		Burz
{Dragom}	Dragom
{Dubok}		Dubok
{Dulfish}	Dulfish
{Dul}		Dul
{Dushkul}	Dushkul
{Gathurn}	Gathrun
{Ghorub}	Ghorub 
{Godrun}	Godrun
{Gogron}	Gogron
{Gorgo}		Gorgo
{Gortvorg}	Gortvorg
{Graklak}	Graklak
{Graman}	Graman
{Gul}		Gul
{Hanz}		Hanz
{Khamagash}	Khamagash
{Krognak}	Krognak
{Kurdan}	Kurdan
{Kurog}	Kurog
{Torug}	Torug
{Moth}	Moth
{Bolazgar} Bolazgar
{Lazgar} Lazgar
{Thulgeg} Thulgeg
{Kurz}		Kurz
{Lumdum}	Lumdum
{Lum}		Lum
{Lugronk}	Lugronk
{Magra}		Magra
{Magub}		Magub
{Maknok}	Maknok
{Makhug}	Makhug
{Mug}		Mug
{Nagoth}	Nagoth
{Ogzor}		Ogzor
{Orok}		Orok
{Ramash}	Ramash
{Ruzglor}	Ruzglor
{Shagol}	Shagol
{Shamlakh}	Shamlakh
{Shobob}	Shobob
{Shum}		Shum
{Ulmag}		Ulmag
{Ulukhaz}	Ulukhaz
{Urbul}	Urbul
{Urgodosh} Urgodosh
{Uugus} Uugus
{Uzul}	Uzul
{Akash}	Akash
{Gorzesh} Gorzesh
{Nenesh} Nenesh
{gro-Orsinium} gro-Orsinium
{gro-Bagrakh} gro-Bagrakh
{gro-Morkul} gro-Morkul
{gro-Tumnosh} gro-Tumnosh
{gro-Fharrun} gro-Fharrun
{gro-Shatul} gro-Shatul
{gro-Igronk} gro-Igronk
{gro-Burgal} gro-Burgal
{gro-Dush} gro-Dush
{gro-Arzug} gro-Arzug
{gro-Badbul} gro-Badbul
{gro-Birgo} gro-Birgo
{gro-Kreeg} gro-Kreeg
{gro-Gruumsh} gro-Gruumsh
{gro-Larishak} gro-Larishak
{gro-Ruumsh} gro-Ruumsh
{gro-Lort} gro-Lort
{gro-Kush} gro-Kush
{gro-Dushnikh} gro-Dushnikh
{gro-Shugharz} gro-Shugharz
{gro-Oglurn} gro-Oglurn
{gro-Burz} gro-Burz
{gro-Luruk} gro-Luruk 
{gro-Izburg} gro-Izburg
{gro-Korlag} gro-Korlag
{gro-Shugduk} gro-Shugduk
{gro-Barbol} gro-Barbol
{gro-Murtag} gro-Murtag
{gro-Shagronk} gro-Shagronk
{gro-Barkbite} gro-Barkbite
{gro-Drublog} gro-Drublog
{gro-Lhurgash} gro-Lhurgash
{gro-Igron} gro-Igron
{gro-Nagorm} gro-Nagorm
{gro-Mal} gro-Mal
{Batul}		Batul
{Borba}		Borba
{Bumph}		Bumph
{Hormaz}	Hormaz 
{Razbela}	Razbela
{Oshghana}	Oshghana
{Mazoga}	Mazoga
{Mog}		Mog
{Mor}		Mor
{Ognash}	Ognash
{Orag}		Orag
{Rogmesh}	Rogmesh
{Shak}		Shak 
{Alga}		Alga
{Solgra}	Solgra
{Tazgol}	Tazgol
{Ugak}		Ugak
{Umog}		Umog
{Ashaad}	Ashaad
{Baadargo}	Baadargo
{Bhisha}	Bhisha
{Dahlima}	Dahlima
{Drobarri}	Dro'Barri
{Drofarahn}	Dro'farahn
{Dromarash}	Dro'Marash
{Droqanar}	Dro'Qanar
{Drosakhar}	Dro'Sakhar
{Droshanjii} Dro'Shanjii
{Droshavir}	Dro'Shavir
{Drotasarr}	Dro'Tasarr
{Drozah}	Dro'Zah
{Drozaymar}	Dro'Zaymar
{Drozharim}	Dro'Zharim
{Drozhirr}	Dro'Zhirr
{Hassiri}	Hassiri
{Hunal}		Hunal
{Khasar} Khasar
{Sarshar} Sarshar
{JaFazir}	Ja'Fazir
{Jbanna}	J'Banna
{JBaasha}	J'Baasha
{Jobashado}	Jobasha
{Jbari}		J'Bari
{Jdarr}		J'Darr
{Jdatharr}	J'Datharr
{Jdato}		J'Dato
{Jdhannar}	J'Dhannar
{Jghasta}	J'Ghasta
{Jhanir}	J'hanir
{Jjarsha}	J'Jarsha
{Jjazha}	J'Jazha
{Jkara}		J'Kara
{Jkier}		J'Kier
{Jmhad}		J'Mhad
{Jobasha}	Jobasha
{Jodhur}	Jodhur
{Joren}	Jo'Ren
{Joshur}	Joshur
{Jothri}	Jo'Thri
{Jraksa}	J'Raksa
{Jrasha}	J'Rasha
{Jriska}	J'Riska
{Jsaddha}	J'Saddha
{Jskar}		J'Skar
{Jzamha}	J'Zamha
{Jzargo}	J'Zargo
{Jzhar}		J'Zhar
{Jzhirr}	J'Zhirr
{Jzidzo}	J'Zidzo
{JzinDar}	J'Zin-Dar
{Kazagh}	Kazagh
{Kharjo}	Kharjo
{Kesh}		Kesh
{Ksharr}	K'Sharr
{Ksharra}	K'Sharra
{Ksirr}		K'Sirr
{Keirgo}	Keirgo
{Madara}	Ma'Dara
{Madran}	Ma'Dran
{Majhad}	Ma'Jhad
{Maiq}		M'Aiq
{Majidarr}	Ma'Jidarr
{Makhar}	Ma'Khar
{Marandru} Ma'Randru
{Maraska}	Ma'Raska
{Marashirr}	Ma'Rashirr
{Matasarr}	Ma'Tasarr
{Mazaddha}	Ma'Zaddha
{Mazahn}	Ma'Zahn
{Mazaka}	Ma'Zaka
{Mdasha}	M'Dasha
{Mdirr}		M'Dirr
{Mdesi}		M'Desi
{Mnashi}	M'Nashi
{MraajDar}	M'Raaj
{Mraaj}	M'Raaj
{Mshan}		M'Shan
{NhadHatta}	Nhad-Hatta
{Qadar}		Qa'Dar
{Radirsha}	Ra'Dirsha
{Rajerra}	Ra'Jhera
{Rajahirr}	Ra'Jahirr
{Rajhan}	Ra'Jhan
{Rajirr}	Ra'Jirr
{Rajiradh}	Ra'Jiradh
{Rakarim}	Ra'karim
{Rakheran}	Ra'Kheran
{Rakothre}	Ra'Kothre
{Ramhirr}	Ra'Mhirr
{Ranarr}	Ranarr
{Raqanar}	Ra'Qanar
{Rasava}	Ra'Sava
{Ratassa}	Ra'Tassa
{Ratesh}	Ra'Tesh
{Ravirr}	Ra'Virr
{Razahr}	Ra'Zahr
{Razhid}	Ra'Zhid
{Ribassa}	Ri'Bassa
{Ridarsha}	Ri'Darsha
{Ridumiwa}	Ri'Dumiwa
{Rijirr}	Ri'Jirr
{Risaad}	Ri'Saad
{Rishajirr}	Ri'Shajirr
{Rivassa}	Ri'Vassa
{Rizaadha}	Ri'Zaadha
{Rizakar}	Ri'Zakar
{Rvanni}	R'Vanni
{Sbakha}	S'Bakha
{Sdrassa}	S'Drassa
{Sholani}	Sholani
{Sradirr}	S'Radirr
{Srathad}	S'Rathad
{Srava}		S'Rava
{Sraverr}	S'Raverr
{Srazirr}	S'Razirr
{Srenji}	S'Renji
{Shani}		S'Shani
{Svandra}	S'Vandra
{Svirr}		S'Virr
{Thengil}	Thengil
{Urjabhi}	Urjabhi
{Urjorad}	Urjorad
{Vasha}		Vasha
{Wadarkhu}	Wadarkhu
{Zadabal}	Zadabal
{Zagun}	Zagun
{Zoaraym}	Zoaraym
{Abanji}	Abanji
{Abhuki}	Abhuki
{Adanja}	Adanja
{Addhiranirr} Addhiranirr
{Adharanji}	Adharanji
{Affri}		Affri
{Ahdahni}	Ahdahni
{Ahdarji}	Ahdarji
{Ahdni}		Ahdni
{Ahdri}		Ahdri
{Ahjara}	Ahjara
{Ahjazda}	Ahjazda
{Ahjisi}	Ahjisi
{Ahkari}	Ahkari
{Ahnarra}	Ahnarra
{Ahnassi}	Ahnassi
{Ahndahra}	Ahndahra
{Ahnia}		Ahnia
{Ahnisa}	Ahnisa
{Ahnissi}	Ahnissi
{Ahzini}	Ahzini
{Aina}		Aina
{Ajira}		Ajira
{Anjari}	Anjari
{Anurassa}	Anurassa
{Arabhi}	Arabhi
{Aravi}		Aravi
{Ashidasha}	Ashidasha
{Ashni}		Ashni
{Atrabhi}	Atrabhi
{Ayisha}	Ayisha
{Bahdahna}	Bahdahna
{Bahdrashi}	Bahdrashi
{Baissa}	Baissa
{Bhisha}	Bhisha
{Bhusari}	Bhusari
{Chirranirr} Chirranirr
{Dahleena}	Dahleena
{Dahnara}	Dahnara
{DraNahrah}	Dro'Nahrah
{Ekapi}		Ekapi
{Eshita} Eshita
{Naghea} Naghea
{Rozhinda} Rozhinda
{Harassa}	Harassa
{Habasi}	Habasi
{Idhassi}	Idhassi
{Inerri}	Inerri
{Inorra}	Inorra
{Kaasha}	Kaasha
{Khamuzi}	Khamuzi
{Khayla}	Khayla
{Khazura}	Khazura
{Khinjarsi}	Khinjarsi
{Kiseena}	Kiseena
{Kishashi}	Kishashi
{Kishna}	Kish'na
{Kishni}	Kishni
{Kishrado}	Kishra
{Kisimba}	Kisimba
{Kisisa}	Kisisa
{Lesspa}	Lesspa
{Mizabako}	Mizaba
{Mkai}		M'Kai
{Nashi}		Nashi
{Nisaba}	Nisaba
{Rabinna}	Rabinna
{Rathumila}	Rathumi
{Razhinda}	Ra'Zhinda
{Shaba}		Shaba
{Shamada}	Shamada
{Shavari}	Shavari
{Shivani}	Shivani
{Shomara}	Shomara
{Shotherra}	Shotherra
{Shunari}	Shunari
{Shuravi}	Shuravi
{Sfara}		S'Fara
{Sjirra}	S'Jirra
{Skasha}	S'Kasha
{Skrivva}	S'Krivva
{Smirra}	S'Mirra
{Sthasa}	S'Thasa
{Talasma}	Talasma
{Tsabhi}	Tsabhi
{Tsajadhi}	Tsajadhi
{Tsalajma}	Tsalajma
{Tsalani}	Tsalani
{Tsani}		Tsani
{Tsarrina}	Tsarrina
{Tsavani}	Tsavani
{Tsavi}		Tsavi
{Tsiya}		Tsiya
{Tsramla}	Tsramla
{Tsrasuna}	Tsrasuna
